iter	RMSE
349	1660.459549
350	1660.437985
351	1659.345954
352	1658.456445
353	1658.158288
354	1657.885572
355	1657.862039
356	1656.939334
357	1655.568111
358	1655.557643
359	1655.535058
360	1655.525607
361	1654.144266
362	1653.272826
363	1652.581673
364	1652.017465
365	1651.390628
366	1650.146517
367	1649.557724
368	1648.91056
369	1647.910427
370	1647.345917
371	1646.820141
372	1645.069715
373	1644.004316
374	1642.216452
375	1641.255538
376	1641.236756
377	1640.747088
378	1640.024993
379	1638.767953
380	1638.759645
381	1638.351821
382	1636.753177
383	1636.022743
384	1635.042635
385	1633.126132
386	1633.118208
387	1632.699715
388	1631.523998
389	1630.702422
390	1630.492732
391	1628.971513
392	1628.963977
393	1628.520548
394	1628.513124
395	1625.590583
396	1623.921773
397	1623.463961
398	1623.457043
399	1623.016632
400	1622.484145
401	1621.252693
402	1620.60485
403	1619.771512
404	1619.76502
405	1619.450902
406	1618.424958
407	1617.638421
408	1617.478156
409	1616.755647
410	1615.436655
411	1614.633845
412	1613.642794
413	1612.797907
414	1611.653919
415	1610.887725
416	1609.780517
417	1609.017173
418	1608.527349
419	1607.040792
420	1606.026633
421	1605.295367
422	1604.7328
423	1603.702301
424	1602.977108
425	1602.087134
426	1601.634847
427	1600.790937
428	1600.784556
429	1600.373412
430	1600.367346
431	1600.356797
432	1599.96545
433	1598.625948
434	1598.33416
435	1596.952279
436	1596.30505
437	1595.762125
438	1595.203347
439	1594.231731
440	1594.223423
441	1594.037956
442	1593.825696
443	1593.820369
444	1593.285239
445	1592.591808
446	1590.83985
447	1590.158635
448	1589.646731
449	1589.106785
450	1587.95911
451	1587.762863
452	1587.124741
453	1586.053847
454	1585.335607
455	1584.514661
456	1583.636957
457	1582.810785
458	1581.820913
459	1581.181369
460	1580.504743
461	1579.857324
462	1579.386819
463	1578.693161
464	1578.058741
465	1577.924787
466	1577.469805
467	1576.70181
468	1575.778564
469	1575.187757
470	1574.588423
471	1573.170462
472	1572.833322
473	1572.062611
474	1571.873627
475	1570.795139
476	1570.24641
477	1569.979782
478	1569.974237
479	1569.332197
480	1568.790067
481	1568.677028
482	1568.157381
483	1568.152422
484	1567.342665
485	1566.630216
486	1565.878175
487	1564.880182
488	1564.105191
489	1563.485746
490	1563.012058
491	1562.511056
492	1562.144261
493	1561.154739
494	1560.766465
495	1560.761232
496	1560.342177
497	1559.677192
498	1558.868667
499	1558.739411
500	1557.592046
501	1557.2781
502	1556.33725
503	1555.89659
504	1555.309818
505	1554.620077
506	1553.674791
507	1552.611573
508	1551.857564
509	1551.020021
510	1550.406221
511	1548.999737
512	1548.167651
513	1547.506728
514	1546.657185
515	1546.649049
516	1545.424413
517	1544.72244
518	1543.73395
519	1542.766782
520	1542.370332
521	1541.712733
522	1540.987262
523	1540.476919
524	1539.496425
525	1539.071999
526	1538.551658
527	1537.67072
528	1536.828116
529	1536.220441
